STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
IV.MOCO	15.158	41.370	54.444
GU.RNCA	8.951	44.471	375.657
HA.MRTH	23.941	38.123	1252.197
Y5.BH05A	18.585	43.170	56.018
KO.ANTB	30.654	36.900	643.208
4P.IT02A	8.361	45.623	91.619
NL.ZH032	4.400	51.978	2062.259
EE.ARBE	25.984	59.437	3590.304
HP.AMPL	21.213	38.922	246.230
IV.OPPE	11.172	45.308	16.036
HL.EVR	21.811	38.917	62.523
FR.LAJAS	3.221	43.970	45245.990
IV.CAPA	15.817	41.158	41.343
CH.ZUR	8.581	47.369	62.761
NL.G302	6.895	53.279	2564.101
HC.KTRS	22.136	36.926	1735.001
CZ.STAC	15.300	49.030	17.358
SL.CRNS	14.261	46.081	9.050
FR.BANN	4.156	44.369	180.984
FR.SURF	6.812	44.481	29.564
Y8.RO22A	24.817	45.765	468.773
HP.VLX	22.379	37.370	106.691
NL.ENV1	6.634	52.894	6224.683
NL.DR021	6.508	52.703	2254.587
TH.FRAU	12.317	50.695	44.900
HL.ZKR	26.217	35.115	1536.000
NL.N024	6.453	53.072	1975.004
NL.G644	7.038	53.221	2199.825
FR.OSSF	-1.262	43.256	10.744
FR.BIMF	-3.202	47.327	13.567
RO.TESR	26.649	46.512	16.540
BQ.BNS	7.175	50.963	100.982
KO.KCTX	28.335	40.263	102.115
FR.DAUF	-0.353	47.660	11.909
IV.CSOB	14.144	40.826	11409.613
NL.FR024	5.930	52.856	2696.301
Y8.RO03A	23.876	44.777	245.897
IV.ESAL	15.134	37.755	41.652
Z6.A267A	18.482	46.946	80.331
NL.G341	6.765	53.253	2320.373
GU.GORR	9.293	44.607	301.473
HE.OUF	24.731	64.367	17.724
TH.WARTH	10.318	50.845	195.428
NL.G454	6.764	53.200	2478.711
NL.PPB1	4.670	52.653	5481.416
NL.ZH071	4.295	52.104	2189.413
PL.BEL	20.789	51.836	8668.249
IV.IPAI	14.725	36.912	18.905
IV.PRMA	10.313	44.764	45.949
NL.G553	6.846	53.143	2440.441
NL.VBG4	6.669	52.544	6079.551
CH.BERGE	8.178	47.872	13.045
HE.HEF	23.664	68.406	74.046
GR.GRC1	11.520	48.995	10.482
IV.MBAL	10.859	45.698	2908.026
IV.PLAC	16.438	38.449	11.398
NL.T031	6.792	52.430	2531.815
RD.RJF	1.516	45.304	31.747
IV.CSFT	14.140	40.829	846.441
KO.EDC	27.862	40.346	59.208
RD.LOR	3.859	47.268	14.805
IV.SIRI	15.867	40.182	19.661
NL.G112	6.889	53.367	2096.504
HA.DOMV	22.980	38.257	404.274
3D.OEM4	14.942	38.410	317.926
TU.ANDN	36.345	37.580	79.538
GU.GBOS	7.840	44.242	8.534
IV.FAVA	13.660	37.329	80.822
HT.TYRN	22.233	39.711	108.098
Z6.CP05A	20.248	49.513	4799.059
GU.EQUI	10.153	44.166	217.311
NL.G283	6.729	53.272	2494.778
NL.G074	6.546	53.395	2426.580
NL.NIW4	6.043	53.355	6306.049
HP.FSK	20.562	38.459	134.143
FR.STR	7.763	48.580	38.916
CH.MESRY	6.308	46.347	128.615
GE.PABE	23.968	55.505	2224.502
IV.QLNO	8.346	44.324	43.759
Z6.GMRK	21.220	42.659	267.813
TH.LUHNE	10.419	51.254	144.261
FR.LOUF	-1.286	48.676	12.920
IV.EVRN	15.136	37.689	279.990
CH.ILLEZ	6.940	46.219	157.724
OE.WTTA	11.636	47.264	9.328
Y8.PL06A	22.137	49.594	1296.839
QE.HNA1	4.956	60.613	40.977
NO.ARD7	25.471	69.529	12.357
NL.G532	7.080	53.167	2586.351
IV.MABI	10.514	46.055	2.375
NL.G491	6.731	53.176	2473.166
SL.ROBS	13.509	46.245	5.407
SI.ROSI	11.412	46.928	18.145
NL.G384	6.548	53.201	2405.322
FR.BLAF	6.045	43.951	35.344
GR.HAM4	10.239	53.479	189.508
XP.FR10A	0.895	45.982	555.840
EI.IMAY	-9.380	54.161	106.356
NL.G173	6.636	53.336	2420.787
NL.G681	6.635	53.235	2560.589
FR.PLEF	-2.333	48.494	14.273
Y8.PL27A	18.709	49.902	322.312
RO.BIR	27.644	46.233	3563.569
OX.AGOR	12.047	46.233	37.496
IV.CERA	14.018	41.598	205.019
NL.G363	6.924	53.265	2396.896
FR.CLMF	-0.196	45.523	17.666
KO.IKL	33.684	36.237	138.468
XP.FR31A	4.528	44.051	100.694
PL.GKP	17.237	53.270	28.478
KO.HRTX	29.673	40.801	91.847
FR.OGMY	5.889	45.881	13.820
NL.G194	6.817	53.338	2310.433
NL.L2077	6.974	52.757	3588.178
OE.BIOA	13.638	47.691	9.325
IV.ROSPO	14.931	42.236	1985.150
IV.STRG	15.215	38.810	241.906
NL.G264	6.546	53.282	2673.391
KO.ADVT	29.738	40.433	176.426
NL.G093	6.725	53.388	2597.937
FR.REYF	-0.393	43.068	14.034
NS.GILDE	14.190	66.929	12.001
CH.SENIN	7.299	46.363	10.014
Y8.PL18A	20.506	49.970	566.432
1Y.GR17	21.631	39.734	163.267
1Y.GR09	23.687	40.660	3503.865
GR.GRA3	11.317	49.761	17.155
HP.PYL	21.742	36.895	1027.976
IV.GIUL	13.255	41.558	nan
NL.G571	7.022	53.135	2575.973
Z6.HU12A	20.827	47.183	26234.045
1Y.GR32	22.988	36.967	75.344
CH.VANNI	7.597	46.210	14.063
NL.VBG3	6.669	52.544	6004.152
GE.PSZ	19.894	47.918	50.234
EI.IWEX	-6.774	52.374	77.971
HU.BUD	19.020	47.483	19.376
FR.HOHE	7.484	48.659	13.032
NO.ARB1	25.508	69.538	11.449
NL.G554	6.846	53.143	2287.016
IV.CRTC	12.883	43.768	51.833
FR.SJAF	2.876	42.483	29.213
Y8.RO13A	24.792	43.830	726.137
MD.KIS	28.817	46.998	544.753
MN.KLV	22.150	38.044	8.870
NL.G241	6.856	53.290	2374.138
RO.SCHLR	27.831	45.470	8358.103
NS.STEI	15.242	67.930	317.996
IV.ENIC	15.022	37.631	60.227
Z6.A365A	10.733	48.165	53.010
FR.CSCF	1.615	47.644	27.921
KO.SLVT	28.210	41.229	297.373
FR.OGVA	6.682	46.330	15.194
CH.BNALP	8.425	46.870	10.891
Z6.CP15A	20.521	48.557	2571.526
NL.FR023	5.930	52.856	2374.762
FR.GARF	1.591	46.515	16.216
NL.G012	6.731	53.443	2627.094
KO.KURC	32.743	41.846	3.097
NS.RAUS	14.042	66.436	8.869
NL.GK021	6.293	53.301	2634.900
NL.G453	6.764	53.200	2438.329
OE.CONA	15.862	47.928	9.537
GE.FALKS	11.265	51.682	117.007
FR.ADHE	4.770	44.374	362.281
NL.G202	6.895	53.335	2321.252
GR.FUR	11.277	48.164	24.839
GB.CLGH	-6.111	55.083	80.535
Z6.A141A	11.849	47.753	37.689
FR.NEUF	6.025	49.325	14.889
Y5.BH15A	18.465	45.058	529.432
BW.RTSH	12.850	47.754	1462.721
CA.POBL	1.083	41.379	49.380
HU.PSZ	19.894	47.918	50.234
Z6.AL05A	20.392	40.705	935.957
