STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
IV.MOCO	15.158	41.370	20.824
GU.RNCA	8.951	44.471	27.459
HA.MRTH	23.941	38.123	44.515
Y5.BH05A	18.585	43.170	36.569
KO.ANTB	30.654	36.900	289.372
4P.IT02A	8.361	45.623	39.150
NL.ZH032	4.400	51.978	450.233
EE.ARBE	25.984	59.437	102.615
HP.AMPL	21.213	38.922	17.419
IV.OPPE	11.172	45.308	2166.812
HL.EVR	21.811	38.917	19.860
FR.LAJAS	3.221	43.970	1716.133
IV.CAPA	15.817	41.158	483.286
CH.ZUR	8.581	47.369	80.441
NL.G302	6.895	53.279	502.730
HC.KTRS	22.136	36.926	27.336
CZ.STAC	15.300	49.030	5.670
SL.CRNS	14.261	46.081	7.389
FR.BANN	4.156	44.369	8.535
FR.SURF	6.812	44.481	9.662
Y8.RO22A	24.817	45.765	235.777
HP.VLX	22.379	37.370	34.642
NL.ENV1	6.634	52.894	651.891
NL.DR021	6.508	52.703	1714.054
TH.FRAU	12.317	50.695	19.449
HL.ZKR	26.217	35.115	164.879
NL.N024	6.453	53.072	184.555
NL.G644	7.038	53.221	204.956
FR.OSSF	-1.262	43.256	8.167
NO.NB203	11.168	61.011	4.769
FR.BIMF	-3.202	47.327	11.667
RO.TESR	26.649	46.512	35.370
BQ.BNS	7.175	50.963	115.978
KO.KCTX	28.335	40.263	55.731
FR.DAUF	-0.353	47.660	12.191
IV.CSOB	14.144	40.826	743.873
NL.FR024	5.930	52.856	273.043
Y8.RO03A	23.876	44.777	94.325
IV.ESAL	15.134	37.755	323.650
Z6.A267A	18.482	46.946	635.340
NL.G341	6.765	53.253	468.929
GU.GORR	9.293	44.607	11.195
HE.OUF	24.731	64.367	7.488
TH.WARTH	10.318	50.845	14.702
NL.G454	6.764	53.200	195.635
NL.PPB1	4.670	52.653	1130.057
NL.ZH071	4.295	52.104	1498.311
PL.BEL	20.789	51.836	24216.150
IV.IPAI	14.725	36.912	473.958
IV.PRMA	10.313	44.764	310.248
NL.G553	6.846	53.143	416.305
NL.VBG4	6.669	52.544	295.202
CH.BERGE	0.000	0.000	nan
HE.HEF	23.664	68.406	12.448
GR.GRC1	11.520	48.995	32.272
IV.MBAL	10.859	45.698	45.406
IV.PLAC	16.438	38.449	8.466
NL.T031	6.792	52.430	392.230
RD.RJF	1.516	45.304	11.621
IV.CSFT	14.140	40.829	748.576
KO.EDC	27.862	40.346	47.655
RD.LOR	3.859	47.268	6.518
IV.SIRI	15.867	40.182	8.928
NL.G112	6.889	53.367	327.185
HA.DOMV	22.980	38.257	49.835
3D.OEM4	14.942	38.410	81.025
TU.ANDN	36.345	37.580	49.201
GU.GBOS	7.840	44.242	7.020
IV.FAVA	13.660	37.329	243.611
HT.TYRN	22.233	39.711	15.777
Z6.CP05A	20.248	49.513	373.849
GU.EQUI	10.153	44.166	26.332
NL.G283	6.729	53.272	254.039
NL.G074	6.546	53.395	181.292
NO.NAO05	10.819	60.851	8.451
NL.NIW4	6.043	53.355	257.111
HP.FSK	20.562	38.459	97.730
FR.STR	7.763	48.580	608.306
CH.MESRY	6.308	46.347	18.114
GE.PABE	23.968	55.505	70.323
NO.NC301	11.490	61.276	3.359
IV.QLNO	8.346	44.324	16.707
Z6.GMRK	21.220	42.659	21.274
TH.LUHNE	10.419	51.254	25.410
FR.LOUF	-1.286	48.676	10.386
IV.EVRN	15.136	37.689	422.578
CH.ILLEZ	6.940	46.219	28.333
OE.WTTA	11.636	47.264	12.465
Y8.PL06A	22.137	49.594	114.580
QE.HNA1	4.956	60.613	12.054
NO.ARD7	25.471	69.529	6.977
NL.G532	7.080	53.167	356.557
IV.MABI	10.514	46.055	9.817
NL.G491	6.731	53.176	1229.120
SL.ROBS	13.509	46.245	3.506
SI.ROSI	11.412	46.928	34.919
NL.G384	6.548	53.201	804.471
FR.BLAF	6.045	43.951	19.566
GR.HAM4	10.239	53.479	755.928
XP.FR10A	0.895	45.982	10.846
EI.IMAY	-9.380	54.161	21.861
NL.G173	6.636	53.336	253.928
NL.G681	6.635	53.235	981.137
FR.PLEF	-2.333	48.494	15.056
Y8.PL27A	18.709	49.902	924.287
RO.BIR	27.644	46.233	659.781
OX.AGOR	12.047	46.233	42.430
IV.CERA	14.018	41.598	46.911
NL.G363	6.924	53.265	327.133
FR.CLMF	-0.196	45.523	103.368
KO.IKL	33.684	36.237	37.994
XP.FR31A	4.528	44.051	197.781
PL.GKP	17.237	53.270	93.188
KO.HRTX	29.673	40.801	50.192
FR.OGMY	5.889	45.881	16.459
NL.G194	6.817	53.338	176.135
NL.L2077	6.974	52.757	305.080
OE.BIOA	13.638	47.691	19.576
IV.ROSPO	14.931	42.236	4534.570
IV.STRG	15.215	38.810	1988.485
NO.NC604	11.396	60.726	5.375
NL.G264	6.546	53.282	220.265
KO.ADVT	29.738	40.433	56.188
NL.G093	6.725	53.388	397.195
FR.REYF	-0.393	43.068	7.015
NS.GILDE	14.190	66.929	8.834
CH.SENIN	7.299	46.363	5.893
Y8.PL18A	20.506	49.970	1437.513
1Y.GR17	21.631	39.734	24.188
1Y.GR09	23.687	40.660	56.982
GR.GRA3	11.317	49.761	15.587
HP.PYL	21.742	36.895	21.875
IV.GIUL	13.255	41.558	nan
NL.G571	7.022	53.135	838.296
Z6.HU12A	20.827	47.183	2700.954
1Y.GR32	22.988	36.967	16.233
CH.VANNI	7.597	46.210	36.934
NL.VBG3	6.669	52.544	390.987
GE.PSZ	19.894	47.918	9.612
EI.IWEX	-6.774	52.374	15.416
HU.BUD	19.020	47.483	143.531
FR.HOHE	7.484	48.659	39.161
NO.ARB1	25.508	69.538	7.598
NL.G554	6.846	53.143	311.859
IV.CRTC	12.883	43.768	94.231
FR.SJAF	2.876	42.483	10.479
Y8.RO13A	24.792	43.830	460.196
MD.KIS	28.817	46.998	1130.149
MN.KLV	22.150	38.044	7.717
NL.G241	6.856	53.290	671.981
RO.SCHLR	27.831	45.470	251.015
NS.STEI	15.242	67.930	9.139
IV.ENIC	15.022	37.631	713.292
Z6.A365A	10.733	48.165	310.570
FR.CSCF	1.615	47.644	83.797
KO.SLVT	28.210	41.229	244.867
FR.OGVA	6.682	46.330	14.084
CH.BNALP	8.425	46.870	6.579
Z6.CP15A	20.521	48.557	32.003
NL.FR023	5.930	52.856	333.526
FR.GARF	1.591	46.515	9.753
NL.G012	6.731	53.443	1258.129
KO.KURC	32.743	41.846	60.222
NS.RAUS	14.042	66.436	10.147
NL.GK021	6.293	53.301	442.591
NL.G453	6.764	53.200	268.711
OE.CONA	15.862	47.928	4.850
GE.FALKS	11.265	51.682	21.539
FR.ADHE	4.770	44.374	27.166
NL.G202	6.895	53.335	408.787
GR.FUR	11.277	48.164	142.703
GB.CLGH	-6.111	55.083	30.227
Z6.A141A	11.849	47.753	38.925
FR.NEUF	6.025	49.325	100.225
Y5.BH15A	18.465	45.058	840.597
BW.RTSH	12.850	47.754	16.103
CA.POBL	1.083	41.379	36.350
HU.PSZ	19.894	47.918	9.612
Z6.AL05A	20.392	40.705	27.014
IV.SLCN	15.633	40.390	46.496
NS.BLS5	6.457	59.423	10.049
NO.NB204	11.158	61.050	5.573
IV.VCRE	14.431	40.819	431.534
HP.AXS	21.376	38.196	32.432
NL.G643	7.038	53.221	200.947
HT.LKD2	20.658	38.789	41.678
NL.N023	6.453	53.072	234.390
EI.IGLA	-9.375	53.419	20.206
CH.FUORN	10.264	46.620	7.426
HL.KTHA	23.062	36.257	16.697
HT.SIGR	25.855	39.211	25.568
IV.ECHR	14.913	37.686	492.435
RF.GEPF	13.139	46.275	51.146
FR.MVIF	7.153	43.896	27.612
NL.G051	6.771	53.418	1893.691
GR.GEC2	13.701	48.844	6.572
Y8.RO32A	23.825	47.221	1004.689
SI.ABSI	11.320	46.728	28.733
NL.G094	6.725	53.388	301.144
KO.DIKM	35.258	41.650	39.428
NL.G263	6.546	53.282	249.418
NO.NC603	11.481	60.705	5.867
XP.FR21A	4.452	44.892	9.598
KQ.QBN	9.897	53.723	71.823
IV.MONC	7.927	45.074	80.834
BQ.HOBG	7.333	50.983	47.024
FR.SOMF	0.053	48.299	12.945
GR.GRA4	11.435	49.564	45.051
1Y.GR10	21.594	40.483	19.302
CH.MUO	8.637	46.968	24.348
NL.T014	6.740	52.464	145.186
NL.G622	6.842	53.387	459.172
TH.RANIS	11.564	50.662	17.672
NL.G471	6.941	53.196	755.978
PL.OJC	19.798	50.219	17.225
MN.BNI	6.678	45.052	8.196
Z6.HU02A	20.525	48.122	4.921
IV.MRGE	7.061	45.770	23.752
FR.IRAF	-1.037	43.034	16.666
Y8.PL08A	22.677	50.376	363.255
SL.MOZS	14.443	46.294	11.090
NL.G193	6.817	53.338	164.756
OX.CLUD	12.881	46.457	19.750
GU.RSP	7.265	45.148	4.603
NL.G364	6.924	53.265	267.355
IV.AGLI	9.173	41.127	15.701
HT.PAIG	23.677	39.936	15.713
GE.THERA	25.475	36.367	44.210
IV.LPEL	14.183	42.047	26.906
HE.KEV	27.004	69.757	8.650
Z6.HU23A	20.250	47.639	459.218
NO.NC201	10.914	61.299	4.535
