STATION	LONGITUDE	LATITUDE	NOISE(NM/S)	NOISE(CATEGORY)
1Y.GR01	23.291	41.285	31.799	M
1Y.GR02	24.160	41.160	73.834	M
1Y.GR03	24.882	41.150	58.275	M
1Y.GR04	24.964	40.980	41.715	M
1Y.GR06	26.272	41.339	43.509	M
1Y.GR07	22.021	40.784	26.798	M
1Y.GR09	23.687	40.660	53.023	M
1Y.GR10	21.594	40.483	9.644	L
1Y.GR11	22.190	40.523	63.772	M
1Y.GR12	22.542	40.471	172.043	M
1Y.GR13	23.186	40.352	14.490	L
1Y.GR14	20.579	39.900	21.574	L
1Y.GR15	21.047	39.941	18.162	L
1Y.GR16	21.938	40.042	26.148	M
1Y.GR17	21.631	39.734	16.131	L
1Y.GR18	22.668	39.728	61.642	M
1Y.GR20	21.746	39.235	26.462	M
1Y.GR21	22.513	39.373	94.013	M
1Y.GR22	22.826	39.089	23.645	L
1Y.GR23	23.229	38.808	583.028	H
1Y.GR24	22.194	38.689	22.640	L
1Y.GR26	23.411	38.400	46.888	M
1Y.GR27	24.233	38.182	110.085	M
1Y.GR28	21.140	37.890	226.957	H
1Y.GR29	21.923	37.704	12.423	L
1Y.GR30	22.577	37.522	59.583	M
1Y.GR31	22.521	37.033	97.281	M
1Y.GR32	22.988	36.967	30.203	M
1Y.GR33	22.334	36.762	111.015	M
1Y.MK01A	21.851	42.279	4.180	L
1Y.MK02A	20.884	42.013	28.516	M
1Y.MK03A	21.990	41.196	42.092	M
1Y.MK04A	22.889	41.419	85.677	M
4P.IT01A	8.768	45.379	605.093	H
4P.IT02A	8.361	45.623	16.183	L
4P.IT03A	8.289	45.238	190.762	M
4P.IT06A	7.880	44.536	102.705	M
4P.IT07A	9.837	44.874	205.820	H
4P.IT08A	12.070	44.984	815.342	H
4P.IT09A	11.436	44.661	584.793	H
9H.HR02A	15.941	44.108	13.875	L
9H.HR03A	15.973	43.861	24.835	L
9H.HR04A	16.281	43.822	15.244	L
9H.HR06A	16.373	43.664	19.960	L
9H.HR07A	16.582	43.825	14.985	L
9H.HR08A	16.611	43.517	10.852	L
9H.HR09A	16.903	43.486	18.165	L
9H.HR10A	17.219	43.342	3.938	L
9H.HR11A	17.374	43.207	9.984	L
9H.HR12A	17.610	42.987	20.020	L
AC.SRN	20.000	39.880	16.554	L
AC.VLO	19.496	40.469	296.308	H
BW.ALFT	11.280	48.142	74.392	M
BW.BE1	11.221	47.911	52.881	M
BW.BGDS	13.027	47.635	12.268	L
BW.BHG	12.877	47.721	242.942	H
BW.BIB	11.247	48.152	114.797	M
BW.FFB1	11.275	48.163	61.489	M
BW.FFB3	11.276	48.165	117.948	M
BW.GELB	11.251	48.163	194.704	M
BW.GRMB	11.264	48.141	89.885	M
BW.KW1	12.597	48.122	214.295	H
BW.MGS01	11.510	48.067	200.388	H
BW.MGS02	11.588	48.078	174.943	M
BW.MGS03	11.707	48.071	294.832	H
BW.MGS04	11.719	47.980	68.130	M
BW.MGS05	11.517	48.000	58.902	M
BW.MGSBH	11.639	48.030	49.943	M
BW.RJOB	12.796	47.737	9.703	L
BW.RTSA	12.842	47.768	12.449	L
BW.SCE	11.709	47.038	9.075	L
