STATION	LONGITUDE	LATITUDE	NOISE(NM/S)	NOISE(CATEGORY)
1Y.GR01	23.291	41.285	377.184	L
1Y.GR02	24.160	41.160	467.524	L
1Y.GR03	24.882	41.150	630.860	L
1Y.GR04	24.964	40.980	757.278	L
1Y.GR06	26.272	41.339	306.452	L
1Y.GR07	22.021	40.784	361.354	L
1Y.GR09	23.687	40.660	719.380	L
1Y.GR10	21.594	40.483	355.975	L
1Y.GR11	22.190	40.523	420.653	L
1Y.GR12	22.542	40.471	1277.793	M
1Y.GR13	23.186	40.352	540.256	L
1Y.GR14	20.579	39.900	708.533	L
1Y.GR15	21.047	39.941	661.540	L
1Y.GR16	21.938	40.042	434.508	L
1Y.GR17	21.631	39.734	608.253	L
1Y.GR18	22.668	39.728	492.302	L
1Y.GR20	21.746	39.235	526.208	L
1Y.GR21	22.513	39.373	484.249	L
1Y.GR22	22.826	39.089	459.990	L
1Y.GR23	23.229	38.808	818.097	M
1Y.GR24	22.194	38.689	494.339	L
1Y.GR26	23.411	38.400	738.866	L
1Y.GR27	24.233	38.182	1246.569	M
1Y.GR28	21.140	37.890	937.883	M
1Y.GR29	21.923	37.704	880.790	M
1Y.GR30	22.577	37.522	1054.293	M
1Y.GR31	22.521	37.033	1510.947	M
1Y.GR32	22.988	36.967	1203.793	M
1Y.GR33	22.334	36.762	1688.560	M
1Y.MK01A	21.851	42.279	325.295	L
1Y.MK02A	20.884	42.013	407.884	L
1Y.MK03A	21.990	41.196	352.326	L
1Y.MK04A	22.889	41.419	374.233	L
4P.IT01A	8.768	45.379	3906.845	H
4P.IT02A	8.361	45.623	1057.239	M
4P.IT03A	8.289	45.238	3123.596	H
4P.IT06A	7.880	44.536	2577.143	H
4P.IT07A	9.837	44.874	3607.790	H
4P.IT08A	12.070	44.984	2244.148	H
4P.IT09A	11.436	44.661	2218.418	H
9H.HR02A	15.941	44.108	294.054	L
9H.HR03A	15.973	43.861	795.546	L
9H.HR04A	16.281	43.822	293.468	L
9H.HR06A	16.373	43.664	669.837	L
9H.HR07A	16.582	43.825	602.372	L
9H.HR08A	16.611	43.517	285.790	L
9H.HR09A	16.903	43.486	680.570	L
9H.HR10A	17.219	43.342	252.375	L
9H.HR11A	17.374	43.207	264.312	L
9H.HR12A	17.610	42.987	811.479	M
AC.SRN	20.000	39.880	403.116	L
AC.VLO	19.496	40.469	2370.610	H
BW.ALFT	11.280	48.142	1040.316	M
BW.BE1	11.221	47.911	1170.212	M
BW.BGDS	13.027	47.635	757.077	L
BW.BHG	12.877	47.721	1248.224	M
BW.BIB	11.247	48.152	1004.137	M
BW.FFB1	11.275	48.163	991.577	M
BW.FFB3	11.276	48.165	965.998	M
BW.GELB	11.251	48.163	980.776	M
BW.GRMB	11.264	48.141	1023.159	M
BW.KW1	12.597	48.122	2966.576	H
BW.MGS01	11.510	48.067	1076.118	M
BW.MGS02	11.588	48.078	1090.022	M
BW.MGS03	11.707	48.071	1134.845	M
BW.MGS04	11.719	47.980	1217.973	M
BW.MGS05	11.517	48.000	1123.002	M
BW.MGSBH	11.639	48.030	1170.867	M
BW.RJOB	12.796	47.737	1317.699	M
BW.RTSA	12.842	47.768	1795.178	M
BW.SCE	11.709	47.038	145.810	L
BW.TON	11.289	48.174	985.901	M
BW.WRNG	11.731	47.826	1636.908	M
C4.CERN1	6.055	46.236	1639.718	M
C4.CERN5	6.076	46.310	1552.621	M
C4.CERNS	6.066	46.267	1549.025	M
CH.ACB	8.255	47.588	1074.859	M
CH.AIGLE	6.953	46.342	1246.563	M
CH.BALST	7.695	47.336	1194.342	M
CH.BAULM	6.468	46.787	1525.598	M
CH.BERGE	8.178	47.872	1140.792	M
CH.BERNI	10.023	46.414	891.376	M
CH.BNALP	8.425	46.870	1438.140	M
CH.BOURR	7.230	47.394	1354.009	M
CH.BRANT	6.473	46.938	1604.798	M
CH.CHAMB	6.612	46.782	1554.505	M
CH.CHASS	7.121	47.161	1304.695	M
CH.COLLE	6.121	46.292	1508.264	M
CH.DAGMA	8.012	47.231	1279.099	M
CH.DAVOX	9.880	46.781	1117.098	M
CH.DIX	7.408	46.081	1191.236	M
CH.EMBD	7.832	46.217	1123.941	M
CH.EMING	8.847	47.895	1128.928	M
CH.EMMET	8.014	47.438	1304.946	M
CH.FIESA	8.111	46.435	1168.028	M
CH.FULLY	7.136	46.156	1193.687	M
CH.FUORN	10.264	46.620	879.489	M
CH.FUSIO	8.663	46.455	1023.562	M
CH.GIMEL	6.265	46.534	2002.953	H
CH.GRIMS	8.319	46.578	1127.743	M
CH.GRYON	7.111	46.251	1242.065	M
CH.HASLI	8.151	46.757	1194.124	M
CH.HAUIG	7.700	47.660	1072.969	M
CH.ILLEZ	6.940	46.219	1297.491	M
CH.JAUN	7.291	46.634	1669.623	M
CH.LADOL	6.132	46.432	1622.530	M
CH.LAUCH	7.772	46.416	1078.588	M
CH.LIENZ	9.492	47.294	1407.562	M
CH.LKBD2	7.644	46.375	1182.012	M
CH.LLS	9.008	46.847	1069.502	M
CH.MESRY	6.308	46.347	1751.915	M
CH.METMA	8.253	47.712	1105.031	M
CH.MFERR	7.112	45.951	1192.011	M
CH.MMK	7.964	46.051	1037.422	M
CH.MTI02	7.165	47.379	1359.263	M
CH.MUGIO	9.042	45.922	959.358	M
CH.MUO	8.637	46.968	1344.881	M
CH.MUTEZ	7.649	47.506	1344.166	M
CH.NALPS	8.748	46.595	969.421	M
CH.PANIX	9.112	46.826	1028.124	M
CH.PERON	5.908	46.191	1705.343	M
CH.PLONS	9.381	47.049	1080.013	M
CH.ROMAN	9.336	47.564	1173.425	M
CH.ROTHE	7.921	47.476	1397.301	M
CH.SAIRA	7.086	47.303	1282.408	M
CH.SALAN	6.973	46.144	1290.273	M
CH.SALEV	6.097	46.060	1555.576	M
CH.SAVIG	5.973	46.066	1474.012	M
CH.SENIN	7.299	46.363	1334.172	M
CH.SIMPL	8.020	46.240	1049.267	M
CH.SLE	8.492	47.764	1069.749	M
CH.SULZ	8.112	47.528	1185.111	M
CH.TORNY	6.959	46.774	1506.521	M
CH.TRULL	8.682	47.649	1060.135	M
CH.VANNI	7.597	46.210	1179.753	M
CH.VDL	9.449	46.483	931.775	M
CH.VDR	9.166	46.206	915.577	M
CH.VINZL	6.278	46.452	1946.109	M
CH.VMV	9.022	46.423	1013.050	M
CH.WALHA	9.123	47.753	1065.716	M
CH.WGT	8.925	47.098	1439.345	M
CH.WILA	8.908	47.415	1229.490	M
CH.WIMIS	7.624	46.665	1531.141	M
CH.WOLEN	7.369	46.998	1397.104	M
CH.ZUR	8.581	47.369	1229.009	M
CL.AGRP	21.723	38.396	530.490	L
CL.MG06	21.946	38.413	655.835	L
CL.PSAM	22.184	38.322	618.422	L
CL.ROD3	21.892	38.308	611.055	L
CL.TRIZ	22.073	38.365	664.880	L
CR.DBRK	18.147	42.669	1012.046	M
CR.MORI	15.707	43.866	360.018	L
CR.MOSL	16.754	45.614	467.773	L
CR.OZLJ	15.467	45.615	269.269	L
CR.STON	17.700	42.872	767.432	L
CR.ZAG	15.994	45.829	1354.477	M
CZ.JAVC	17.671	48.859	705.975	L
CZ.KRUC	16.395	49.062	592.542	L
CZ.MAUC	17.828	49.365	0.000	B
CZ.MORC	17.543	49.777	577.879	L
CZ.PRA	14.433	50.070	252.698	L
CZ.STAC	15.300	49.030	599.286	L
CZ.VRAC	16.593	49.308	546.527	L
FR.ABJF	0.761	45.574	1590.900	M
FR.ADHE	4.770	44.374	2296.544	H
FR.AGO	3.132	46.050	1507.703	M
FR.AJAC	8.763	41.928	2423.271	H
FR.ARBF	5.332	43.492	2739.396	H
FR.ARTF	5.807	43.588	2314.245	H
FR.ASEAF	5.984	42.801	12995.620	H
FR.BALS	3.452	44.520	1527.404	M
FR.BANN	4.156	44.369	1610.195	M
FR.BLAF	6.045	43.951	1953.305	M
FR.BOUC	6.256	47.247	1261.770	M
FR.BRGF	1.771	45.957	1567.619	M
FR.BSTF	5.643	43.801	2095.373	H
FR.CALF	6.922	43.753	2339.271	H
FR.CFF	3.111	45.763	1551.153	M
FR.CHLF	3.844	46.558	1505.485	M
FR.CHMF	6.652	47.248	1253.825	M
FR.CLAF	3.090	43.135	1744.241	M
FR.COLF	3.694	45.500	1487.795	M
FR.EILF	7.131	43.548	2229.810	H
FR.ENAUX	6.777	44.109	1945.801	M
FR.ESCA	7.374	43.831	2727.391	H
FR.FAHY	5.463	47.505	1392.989	M
FR.FOURG	5.811	47.104	1390.479	M
FR.FRNF	2.561	45.385	1487.788	M
FR.GARF	1.591	46.515	1690.811	M
FR.GRN	5.744	45.241	1680.801	M
FR.GZNF	2.201	46.174	1551.992	M
FR.HRSF	2.701	46.521	1552.619	M
FR.ILLF	7.254	47.683	1287.989	M
FR.ISO	7.050	44.184	1645.514	M
FR.LBL	3.246	45.231	1430.685	M
FR.LEUC	2.554	44.761	1511.461	M
FR.MFC	6.920	43.967	2555.565	H
FR.MIGAL	6.033	43.080	2335.494	H
FR.MLYF	5.768	43.988	2513.593	H
FR.MON	7.425	43.730	2699.572	H
FR.MONQ	1.194	44.367	1576.653	M
FR.MORSI	9.363	42.953	2079.620	H
FR.MVIF	7.153	43.896	2120.451	H
FR.NIMR	7.203	43.680	2207.143	H
FR.OG02	6.220	46.154	1762.905	M
FR.OG35	5.571	46.045	1479.247	M
FR.OGAG	6.540	44.788	1281.193	M
FR.OGCB	5.097	44.850	1817.853	M
FR.OGCC	5.550	44.429	2938.424	H
FR.OGCN	5.089	45.154	2356.861	H
FR.OGCY	6.712	45.472	1213.291	M
FR.OGDF	5.069	44.557	2370.144	H
FR.OGDI	6.225	44.109	2417.628	H
FR.OGGL	4.611	45.878	1391.565	M
FR.OGJA	6.710	44.910	1351.085	M
FR.OGLC	6.074	44.370	1813.987	M
FR.OGMO	6.683	45.209	1247.341	M
FR.OGMY	5.889	45.881	1464.451	M
FR.OGRV	4.752	46.346	1405.560	M
FR.OGS3	5.806	45.070	1140.394	M
FR.OGSA	6.401	45.037	1280.746	M
FR.OGSI	6.757	46.056	1192.027	M
FR.OGSM	5.697	45.609	1510.876	M
FR.OGVA	6.682	46.330	1545.362	M
FR.OGVG	6.112	44.815	1275.915	M
FR.PIAF	7.617	44.116	1903.390	M
FR.PLDF	3.623	45.965	1384.161	M
FR.PLYF	4.743	46.957	1447.084	M
FR.PRABE	5.993	45.234	1281.570	M
FR.REST	3.859	43.715	1716.362	M
FR.RIVEL	5.922	46.759	1476.327	M
FR.RONF	6.645	47.710	1312.721	M
FR.RSL	6.625	45.688	1185.218	M
FR.RUSF	5.482	43.929	2399.556	H
FR.SALSA	6.689	43.881	2448.376	H
FR.SAOF	7.554	43.987	2069.429	H
FR.SAUF	5.106	43.938	2363.010	H
FR.SGSF	3.619	45.048	1499.615	M
FR.SLVF	2.164	44.191	1601.693	M
FR.SMPL	9.285	42.094	2194.734	H
FR.SPIF	7.237	44.056	1813.597	M
FR.STROF	6.601	43.220	1997.552	M
FR.SURF	6.812	44.481	1800.103	M
FR.TAMIE	6.306	45.689	2082.447	H
FR.TRIGF	6.407	43.747	2465.933	H
FR.TURF	7.392	43.975	2033.407	H
FR.VERF	2.484	45.750	1541.018	M
FR.WALT	7.277	47.966	1205.237	M
G.SSB	4.542	45.279	1479.592	M
GE.MARCO	15.806	40.297	1334.797	M
GE.MATE	16.704	40.649	657.867	L
GE.TIRR	28.413	44.458	399.368	L
GR.FUR	11.277	48.164	975.012	M
GR.GEC2	13.701	48.844	676.046	L
GR.GEC7	13.714	48.835	674.489	L
GR.UBR	10.107	47.680	1353.124	M
GU.BHB	7.263	44.836	1448.711	M
GU.BURY	7.557	43.782	2426.284	H
GU.CANO	8.237	44.208	1513.660	M
GU.CARD	10.482	44.026	1111.011	M
GU.CIRO	7.568	45.602	796.025	L
GU.ENR	7.418	44.229	3532.511	H
GU.EQUI	10.153	44.166	1342.126	M
GU.GBOS	7.840	44.242	1986.830	M
GU.GORR	9.293	44.607	1846.723	M
GU.GRAM	10.065	44.490	1715.700	M
GU.GSCL	10.588	44.351	1474.858	M
GU.IMI	7.893	43.910	2621.676	H
GU.MAIM	10.492	43.914	568.463	L
GU.PCP	8.545	44.541	1862.246	M
GU.POPM	10.757	44.045	1092.827	M
GU.PZZ	7.116	44.507	1482.409	M
GU.REMY	7.157	45.838	803.398	M
GU.RNCA	8.951	44.471	3157.386	H
GU.RORO	8.067	44.112	2341.748	H
GU.ROTM	8.353	44.849	2913.512	H
GU.RRL	6.791	44.921	1360.821	M
GU.RSP	7.265	45.148	464.239	L
GU.STV	7.326	44.245	1962.180	M
GU.TRAV	7.747	45.513	1193.818	M
HA.ACOR	22.869	37.891	856.481	M
HA.ATAL	23.021	38.693	724.840	L
